Strategy,Loss,Alpha,Gamma,F1,Precision,Recall,Accuracy,Time
Baseline (No Weighting),ce_unweighted,0.0,0.0,0.8735271013354281,0.9407783417935702,0.8152492668621701,0.9769539078156313,1.4023609161376953
Weighted CE (alpha=0.5),ce,0.5,0.0,0.8456189151599444,0.8042328042328042,0.8914956011730205,0.9682221586029202,1.0854113101959229
Weighted CE (alpha=1.0),ce,1.0,0.0,0.8058936579115952,0.7155858930602957,0.9222873900293255,0.9566275407958774,1.0868070125579834
"Focal Loss (gamma=2.0, alpha=0.5)",focal,0.5,2.0,0.7762836185819071,0.6656184486373166,0.9310850439882697,0.9476095047237332,1.145193099975586
"Focal Loss (gamma=2.0, alpha=1.0)",focal,1.0,2.0,0.6339113680154143,0.4720229555236729,0.9648093841642229,0.8912109934154022,1.0926005840301514
