Model,Features,F1,Precision,Recall,Accuracy,Time,Input_Dim
GCN,Baseline,0.750207468879668,0.864244741873805,0.6627565982404692,0.9569138276553106,1.676398754119873,183
GAT,Baseline,0.771404821280133,0.8905950095969289,0.6803519061583577,0.9606355568279416,2.875736713409424,183
GraphSAGE,Baseline,0.8733280881195908,0.9422750424448217,0.8137829912023461,0.9769539078156313,1.0951063632965088,183
HeteroGNN,Baseline,0.8764940239043825,0.9598603839441536,0.8064516129032258,0.9778127683939307,7.0319719314575195,183
GCN,Patterns,0.726039016115352,0.8611670020120724,0.6275659824046921,0.9537646722015459,1.3883516788482666,186
GAT,Patterns,0.780608052588332,0.8878504672897196,0.6964809384164223,0.9617807042656742,2.8128299713134766,186
GraphSAGE,Patterns,0.8794326241134752,0.9505962521294719,0.8181818181818182,0.9780990552533638,1.0738978385925293,186
HeteroGNN,Patterns,0.8876923076923077,0.9336569579288025,0.8460410557184751,0.9791010592613799,6.957521438598633,183
